Vendor,VendorItemNumber,VendorItemNameOnTheInvoice,ItemNameInTheSystemR365,PurchasingUofM
The WEBstaurant Sore,176sb24rw,Squeeze Bottle Red,EQUIP SML - Squeeze Bottle Red - Webstaurant - 1/CT,Each
The WEBstaurant Sore,519khm7210ob,Dough Mixer - Hand Held Kitchen Aid,EQUIP LRG Dough Mixer Handheld - Webstaurant - 1/CT,Each
The WEBstaurant Sore,176tsbstnd,Bag Rack,EQUIP SML - Bag Rack - Webstaurant - 1/CT,Each
The WEBstaurant Sore,407pastabk67,Blanching Basket,EQUIP SML - Blanching Basket - Webstaurant - 1/CT,Each
The WEBstaurant Sore,176sb24cw,Squeeze Bottle White,EQUIP SML - Squeeze Bottle White - Webstaurant - 1/CT,Each
The WEBstaurant Sore,349C5223B,EQUIP SML - Dinning Table Base 17x48 - Webstaurant - 1/CT,EQUIP SML - Dinning Table Base 17x48 - Webstaurant - 1/CT,Each
The WEBstaurant Sore,SQH6,EQUIP SML - Squeeze Bottle Holder - Webstaurant - 1/CT,EQUIP SML - Squeeze Bottle Holder - Webstaurant - 1/CT,Each
The WEBstaurant Sore,413GRFSC18,EQUIP LRG Mounted Heat Lamp - 1/CT,EQUIP LRG Mounted Heat Lamp - 1/CT,Each
The WEBstaurant Sore,80863TC,EQUIP SML - Squeeze Bottle Lid White - Webstaurant - 1/CT,EQUIP SML - Squeeze Bottle Lid White - Webstaurant - 1/CT,Each
The WEBstaurant Sore,274MOPBCKTYE,EQUIP SML - Mop Bucket - Webstaurant - 1/CT,EQUIP SML - Mop Bucket - Webstaurant - 1/CT,Each
The WEBstaurant Sore,3324C-08,Tri-tip bottle Yellow (Kdawg),EQUIP SML - Tri-tip Bottle Yellow K-dawg - Webstaurant - 1/CT,Each
The WEBstaurant Sore,177HWD15D,EQUIP LRG Avantco Water Boiler - Webstaurant - 1/CT,EQUIP LRG Avantco Water Boiler - Webstaurant - 1/CT,Each
The WEBstaurant Sore,27136883,Broom,EQUIP SML - Broom - Webstaurant - 1/CT,Each
The WEBstaurant Sore,80863TM,EQUIP SML - Squeeze Bottle Lid Yellow - Webstaurant - 1/CT,EQUIP SML - Squeeze Bottle Lid Yellow - Webstaurant - 1/CT,Each
The WEBstaurant Sore,274popup30kt,Wet Floor Sign,EQUIP SML - Wet Floor Sign - Webstaurant - 1/CT,Each
The WEBstaurant Sore,176sb24yw,Squeeze Bottle Yellow,EQUIP SML - Squeeze Bottle Yellow - Webstaurant - 1/CT,Each
The WEBstaurant Sore,187neop17glv,Noodle Gloves,EQUIP SML - Noodle Gloves - Webstaurant - 1/CT,Each
The WEBstaurant Sore,407bbh12c,Breading Basket,EQUIP SML - Breading Basket - Webstaurant - 1/CT,Each
The WEBstaurant Sore,SSC18,Grill Scaper,EQUIP SML - Grill Scaper - Webstaurant - 1/CT,Each
The WEBstaurant Sore,600LC13122KG,EQUIP SML - 3 Tier Locker - Webstaurant - 1/CT,EQUIP SML - 3 Tier Locker - Webstaurant - 1/CT,Each
The WEBstaurant Sore,712b5522,EQUIP SML - Speed Rail - Webstaurant - 1/CT,EQUIP SML - Speed Rail - Webstaurant - 1/CT,Each
The WEBstaurant Sore,80863TK,EQUIP SML - Squeeze Bottle Holder - Webstaurant - 1/CT,EQUIP SML - Squeeze Bottle Lid Red - Webstaurant - 1/CT,Each
The WEBstaurant Sore,394rwgd1,EQUIP SML - Glove Dispenser - Webstaurant - 1/CT,EQUIP SML - Glove Dispenser - Webstaurant - 1/CT,Each
The WEBstaurant Sore,519ksm8990cu,Dough Mixer - 8 Qt. Kitchen Aid,EQUIP LRG Dough Mixer 8Qt - Webstaurant - 1/CT,Each
The WEBstaurant Sore,774ewb39wb,Wash hands sign,EQUIP SML - Wash hands Sign - Webstaurant - 1/CT,Each
The WEBstaurant Sore,88533973,Wok Spatula,EQUIP SML - Wok Spatula - Webstaurant - 1/CT,Each
The WEBstaurant Sore,3324C-02,Tri-tip bottle Red(Kdawg),EQUIP SML - Tri-tip Bottle Red K-dawg - Webstaurant - 1/CT,Each
The WEBstaurant Sore,60518WATT,EQUIP SML - Bulb for Fly Catcher - Webstaurant - 1/CT,EQUIP SML - Bulb for Fly Catcher - Webstaurant - 1/CT,Each
The WEBstaurant Sore,427CAU3636GY,EQUIP LRG Outdoor Table - Webstaurant - 1/CT,EQUIP LRG Outdoor Table - Webstaurant - 1/CT,Each
The WEBstaurant Sore,47290022,EQUIP SML - Blow Torch Ramen - Webstaurant - 1/CT,EQUIP SML - Blow Torch Ramen - Webstaurant - 1/CT,Each
The WEBstaurant Sore,3324-13,Tri-tip bottle White (Kdawg),EQUIP SML - Tri-tip Bottle White K-dawg - Webstaurant - 1/CT,Each
The WEBstaurant Sore,177PC201M,EQUIP LRG Avantco Pasta Cooker - Webstaurant - 1/CT,EQUIP LRG Avantco Pasta Cooker - Webstaurant - 1/CT,Each
The WEBstaurant Sore,349c30s3s,EQUIP SML - Dinning Table Base 30x30 - Webstaurant - 1/CT,EQUIP SML - Dinning Table Base 30x30 - Webstaurant - 1/CT,Each
The WEBstaurant Sore,605WS18W,EQUIP SML - Fly Trap - Webstaurant - 1/CT,EQUIP SML - Fly Trap - Webstaurant - 1/CT,Each
The WEBstaurant Sore,349C3023S,EQUIP SML - Dinning Table Base 30x24 - Webstaurant - 1/CT,EQUIP SML - Dinning Table Base 30x24 - Webstaurant - 1/CT,Each
